fonte,tipo_fonte,issn,isbn,ano,indexado,metodo
2025 33rd Signal Processing and Communications Applications Conference (SIU),conferencia,2165-0608,979-8-3315-6655-5,2025,True,ISBN
2010 International Conference on Intelligent Computation Technology and Automation,conferencia,,978-1-4244-7280-2,2010,False,
2020 IEEE Texas Symposium on Wireless and Microwave Circuits and Systems (WMCS),conferencia,,978-1-7281-6192-1,2020,True,ISBN
2025 World Skills Conference on Universal Data Analytics and Sciences (WorldSUAS),conferencia,,979-8-3315-3925-2,2025,True,ISBN
2024 10th International Conference on Applied System Innovation (ICASI),conferencia,2768-4156,979-8-3503-9492-4,2024,True,ISBN
2010 International Conference on Management and Service Science,conferencia,,978-1-4244-5325-2,2010,False,
IEEE Transactions on Circuits and Systems I: Regular Papers,periodico,1558-0806,,2026,True,ISSN
2023 IEEE 8th International Conference on Smart Cloud (SmartCloud),conferencia,,979-8-3503-1350-5,2023,True,ISBN
IEEE Internet of Things Magazine,periodico,2576-3199,,2025,True,ISSN
2025 IEEE PES/IAS PowerAfrica,conferencia,,979-8-3315-9850-1,2025,True,ISBN
"2024 Sensor Data Fusion: Trends, Solutions, Applications (SDF)",conferencia,2473-7666,979-8-3315-2744-0,2024,True,ISBN
2019 URSI Asia-Pacific Radio Science Conference (AP-RASC),conferencia,,978-908-25987-5-9,2019,True,ISBN
"2025 International Conference on Networking, Sensing and Control (ICNSC)",conferencia,2766-8665,979-8-3315-9749-8,2025,True,ISBN
"2025 2nd International Conference on Machine Learning, Pattern Recognition and Automation Engineering (MLPRAE)",conferencia,,978-1-6654-5742-2,2025,True,ISBN
2023 IEEE Engineering Informatics,conferencia,,979-8-3503-3852-2,2023,True,ISBN
"2025 2nd International Conference on Software, Systems and Information Technology (SSITCON)",conferencia,,979-8-3315-2623-8,2025,True,ISBN
2025 29th International Computer Science and Engineering Conference (ICSEC),conferencia,2768-0592,979-8-3315-7383-6,2025,True,ISBN
2025 11th International Conference on Virtual Reality (ICVR),conferencia,,979-8-3503-9273-9,2025,True,ISBN
"2010 Second International Conference on Computational Intelligence, Modelling and Simulation",conferencia,2166-8531,978-1-4244-8652-6,2010,True,ISSN_SERIE
2025 16th International Conference on Logistics and Supply Chain Management (LOGISTIQUA),conferencia,2166-7373,979-8-3315-5312-8,2025,False,
"2025 29th International Computer Conference, Computer Society of Iran (CSICC)",conferencia,,979-8-3315-2311-4,2025,True,ISBN
"2024 1st International Conference on Advances in Computing, Communication and Networking (ICAC2N)",conferencia,,979-8-3503-5681-6,2024,True,ISBN
2025 IEEE Madhya Pradesh Section Conference (MPCON),conferencia,,979-8-3315-1285-9,2025,True,ISBN
"2024 International Conference on Electrical, Computer and Energy Technologies (ICECET",conferencia,,979-8-3503-9591-4,2024,True,ISBN
"2024 International Conference on Healthcare Innovations, Software and Engineering Technologies (HISET)",conferencia,,979-8-3503-6070-7,2024,True,ISBN
IEEE Sensors Journal,periodico,1558-1748,,2025,True,ISSN
Interacting with Computers,periodico,1873-7951,,2012,True,ISSN
2023 Seventh International Conference on Image Information Processing (ICIIP),conferencia,2640-074X,979-8-3503-7140-6,2023,True,ISBN
"2024 International Conference on System, Computation, Automation and Networking (ICSCAN)",conferencia,,979-8-3315-1002-2,2024,True,ISBN
2024 IEEE 13th Global Conference on Consumer Electronics (GCCE),conferencia,2693-0854,979-8-3503-5507-9,2024,True,ISBN
IEEE Internet of Things Journal,periodico,2327-4662,,2024,True,ISSN
OCEANS 2015 - Genova,conferencia,,978-1-4799-8736-8,2015,True,ISBN
2011 IEEE 35th Annual Computer Software and Applications Conference,conferencia,0730-3157,978-0-7695-4439-7,2011,True,ISSN_SERIE
2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT),conferencia,2473-7674,979-8-3503-7024-9,2024,True,ISBN
2023 31st Mediterranean Conference on Control and Automation (MED),conferencia,2473-3504,979-8-3503-1543-1,2023,True,ISBN
2014 IEEE International Congress on Big Data,conferencia,2379-7703,978-1-4799-5057-7,2014,True,ISBN
"2025 IEEE 8th International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)",conferencia,2831-4549,979-8-3315-9907-2,2025,True,ISBN
2024 International Conference on Trends in Quantum Computing and Emerging Business Technologies,conferencia,,979-8-3503-8427-7,2024,True,ISBN
2024 International Conference on Computational Intelligence and Computing Applications (ICCICA),conferencia,,979-8-3503-0644-6,2024,True,ISBN
2025 Third International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),conferencia,,979-8-3315-0724-4,2025,True,ISBN
2023 8th International Conference on Intelligent Computing and Signal Processing (ICSP),conferencia,,979-8-3503-0245-5,2023,True,ISBN
IEEE Transactions on Industrial Informatics,periodico,1941-0050,,2016,True,ISSN
2024 IEEE International Conference on Consumer Electronics-Asia (ICCE-Asia),conferencia,,979-8-3315-3083-9,2024,True,ISBN
2023 6th World Symposium on Communication Engineering (WSCE),conferencia,2835-3404,979-8-3503-3950-5,2023,True,ISBN
2024 5th International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV),conferencia,,979-8-3503-8564-9,2024,True,ISBN
2024 Intelligent Systems and Machine Learning Conference (ISML),conferencia,,979-8-3503-4387-8,2024,True,ISBN
2023 IEEE International Carnahan Conference on Security Technology (ICCST),conferencia,2153-0742,979-8-3503-1587-5,2023,True,ISBN
IEEE Communications Surveys & Tutorials,periodico,1553-877X,,2026,True,ISSN
2025 6th International Conference on Computer Engineering and Application (ICCEA),conferencia,2159-1288,979-8-3315-4330-3,2025,True,ISBN
IEEE Transactions on Automation Science and Engineering,periodico,1558-3783,,2016,True,ISSN
2025 2nd International Conference on Intelligent Computing and Robotics (ICICR),conferencia,,979-8-3315-4429-4,2025,True,ISBN
2024 International Conference on Decision Aid Sciences and Applications (DASA),conferencia,,979-8-3503-6910-6,2024,True,ISBN
"2024 3rd International Conference on Energy and Power Engineering, Control Engineering (EPECE)",conferencia,,979-8-3503-6609-9,2024,True,ISBN
