"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Battlefield Perception Data Fusion Based on Knowledge Graphs","Z. Yongchao; L. Suike; W. Haijun","University of National Defense, Beijing, China; University of National Defense, Beijing, China; University of National Defense, Beijing, China",2020 International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE),"23 Apr 2021","2020","","","9","14","The modern information wars demand higher efficiency in decision-making and response, and the efficiency in understanding the battlefield perception data becomes the key to the success and failure of combat squads. Based on the knowledge graph technology, to meet the needs for battlefield perception data fusion, this paper designs a battlefield perception data fusion system based on knowledge graphs and designs the functional modules of the system to provide a technical basis for combat squads to respond quickly to the battlefield.","","978-1-7281-9619-0","10.1109/ICBASE51474.2020.00009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9403817","knowledge graph;battlefield perception;data fusion","Knowledge engineering;Decision making;Data integration;Collaboration;Software engineering","","","","9","IEEE","23 Apr 2021","30 Oct.-1 Nov. 2020","30 Oct.-1 Nov. 2020","IEEE","IEEE Conferences"
"Research on Heterogeneous Coordination Technology in U.S. Military Drone Swarm Operations","C. Xie; W. Yi; B. Ye","National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China",2025 IEEE International Conference on Unmanned Systems (ICUS),"23 Dec 2025","2025","","","1701","1706","In modern military fields, drone swarm operations are gradually becoming a transformative mode of warfare, with the U.S. military maintaining a leading position in this domain. This study focuses on heterogeneous coordination technology within U.S. military drone swarm operations, aiming to thoroughly analyze its application mechanisms, effectiveness, and future development prospects in the military operational field. The scope of the research encompasses fundamental concepts of drone swarm operations, theoretical foundations of heterogeneous coordination technology, current status of U.S. military drone swarm operations, and specific applications of heterogeneous coordination technology within these operations. This research aims to provide references for the advancement of swarm technology in China's unmanned systems, thereby enhancing China's competitiveness in the military technology sector.","2771-7372","979-8-3315-2672-6","10.1109/ICUS66297.2025.11294621","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11294621","Unmanned Systems;Swarm Operations;Heterogeneous Coordination;Drones;U.S. Military","Adaptive learning;Autonomous systems;Decision making;Data integration;Collaboration;Dynamic scheduling;Real-time systems;Resource management;Optimization;Drones","","","","15","IEEE","23 Dec 2025","18-19 Sept. 2025","18-19 Sept. 2025","IEEE","IEEE Conferences"
"Cross-Attention Based Multimodal Data Fusion for IoMT using Reinforcement Learning","A. Prabagaran; J. Rani; Neelam; V. Dwivedi; J. Ayeelyan; P. P","Gupshup Technology India Pvt Ltd, Bengaluru, India; Department of Computer Science and Engineering, Noida Institute of Engineering & Technology, Greater Noida, Uttar Pradesh, India; Department of Computer Science and Engineering, Noida Institute of Engineering & Technology, Greater Noida, Uttar Pradesh, India; School of Computer Science and Engineering, Galgotias University, Greater Noida, Uttar Pradesh, India; Dept of Infromatics, Faculty of Communication Engineering, Military College of Telecommunication and Engineering, Indore, Madhya Pradesh, India; Department of Computer Science and Engineering, Greater Noida Institute of Technology, Greater Noida, Uttar Pradesh, India",2025 5th International Conference on Soft Computing for Security Applications (ICSCSA),"25 Sep 2025","2025","","","1450","1455","Internet of Military Things is a domain based on IoT, which requires real-time basis data processing technique for efficient decision-making process. As military applications need to be more secure and the reliable actions need to be taken. For accurate decision making, a huge amount of information from the sensor network is required. Data processing and communication to the user end of the vast amount of data degrades the system performance. Data fusion is a technique that produces the output that represents the information from the multiple sources. This output helps in the decision-making process more efficiently. Therefore, this paper proposes the cross attention model for data fusion of multi-modal data using the Reinforcement learning algorithm in IoMT. The feature level data fusion takes place using CNN as the feature extractor. The proposed framework is simulated and obtains better AUROC and AUPRC. The proposed work also estimated the throughput which showed good performance for multimodal sensor data fusion.","","979-8-3315-9491-6","10.1109/ICSCSA66339.2025.11170779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11170779","IoMT;data fusion;Reinforcement learning;cross attention;CNN","Accuracy;System performance;Soft sensors;Decision making;Data integration;Reinforcement learning;Feature extraction;Throughput;Data models;Security","","","","18","IEEE","25 Sep 2025","4-6 Aug. 2025","4-6 Aug. 2025","IEEE","IEEE Conferences"
"A method of threat assessment using multiple attribute decision making","Qu Changwen; He You","Naval Aeronautical Engineering Institute, Yantai, China; Naval Aeronautical Engineering Institute, Yantai, China","6th International Conference on Signal Processing, 2002.","28 Feb 2003","2002","2","","1091","1095 vol.2","Threat assessment as high level data fusion has received significant attention for military application. The expert systems technique is often applied to threat assessment. Decision making is a reasoning procedure and suitable for threat assessment. According to the characteristics of the threat assessment and multiple attribute decision making, a method for threat assessment based on multiple attribute decision making is presented in this paper. Fuzzy membership functions and the Technique for Order Preference by Similarity to Ideal Solution (TOPSIS) are used in this method. This method is easy to implement in practice and good at real-time processing.","","0-7803-7488-6","10.1109/ICOSP.2002.1179979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1179979","","Decision making;Expert systems;Intelligent sensors;Command and control systems;Fuzzy set theory;Helium;Aerospace engineering;Real time systems;Military communication;Communication system control","","27","","11","IEEE","28 Feb 2003","26-30 Aug. 2002","26-30 Aug. 2002","IEEE","IEEE Conferences"
"Multi-Agent Data Fusion: Methods, Challenges, and Trends","L. Gotsev; G. Gospodinov; G. Dimitrov; E. Kovatcheva; T. Ristovska; M. Familiyanov","Faculty of Information Sciences, University of Library Studies and Information Technologies (ULSIT), 119, Tsarigradsko Shose, Sofia, Bulgaria; Faculty of Information Sciences, University of Library Studies and Information Technologies (ULSIT), 119, Tsarigradsko Shose, Sofia, Bulgaria; Faculty of Information Sciences, University of Library Studies and Information Technologies (ULSIT), 119, Tsarigradsko Shose, Sofia, Bulgaria; Faculty of Information Sciences, University of Library Studies and Information Technologies (ULSIT), 119, Tsarigradsko Shose, Sofia, Bulgaria; Faculty of Information Sciences, University of Library Studies and Information Technologies (ULSIT), 119, Tsarigradsko Shose, Sofia, Bulgaria; Faculty of Information Sciences, University of Library Studies and Information Technologies (ULSIT), 119, Tsarigradsko Shose, Sofia, Bulgaria","2025 17th International Conference on Advanced Technologies, Systems and Services in Telecommunications (TELSIKS)","19 Nov 2025","2025","","","1","9","This study reviews data fusion methods in multiagent systems (MAS), categorised into low-, mid, and high-level fusion. Using the PRISMA methodology, we analyse recent literature, highlighting trends such as probabilistic filters, deep learning, and federated decision-making. Challenges remain in scalability, interoperability, and privacy, warranting future research into adaptive, secure fusion models.","2995-0651","979-8-3315-4416-4","10.1109/TELSIKS65061.2025.11240785","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11240785","Data fusion;multi-agent systems;decision-making;artificial intelligence","Military computing;Computational modeling;Scalability;Decision making;Data integration;Robot sensing systems;Market research;Real-time systems;Artificial intelligence;Computer security","","","","60","IEEE","19 Nov 2025","22-24 Oct. 2025","22-24 Oct. 2025","IEEE","IEEE Conferences"
"Situation/Threat Assessment Fusion System (STAFS)","Jeung Won Choi; Jae Woo Joo; Dong Lae Cho","Agency for Defense Development, Data Fusion Laboratory, Daejeon, South Korea; Agency for Defense Development, Data Fusion Laboratory, Daejeon, South Korea; Agency for Defense Development, Data Fusion Laboratory, Daejeon, South Korea",Proceedings of the Fifth International Conference on Information Fusion. FUSION 2002. (IEEE Cat.No.02EX5997),"7 Nov 2002","2002","2","","1374","1380 vol.2","Intelligence preparation of the battlefield (IPB) is important in assessing situation and threat missions in military operations. However, existing systems for situation assessment and threat assessment provide insufficient information. In the real world, undiscovered and unidentified threat units, incomplete messages, and enemy deception may cause expert systems to infer unreliable products. Military decision-making systems may suffer from incomplete, inconsistent, and incorrect intelligence. In this paper, we propose a new framework of a knowledge-based system, STAFS, that is more suitable for military applications. STAFS will solve some of these problems using the assumption-based truth maintenance system (ATMS), spatio-temporal reasoning, and uncertainty processing technologies and provide enhanced products to commanders and intelligence staff. STAFS is a near real-time knowledge-based IPB automation system.","","0-9721844-1-4","10.1109/ICIF.2002.1020973","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1020973","","Uncertainty;Automation;Knowledge based systems;Expert systems;Decision making;Real time systems;Intelligent systems;Artificial intelligence;Humans;Cognition","","10","","14","","7 Nov 2002","8-11 July 2002","8-11 July 2002","IEEE","IEEE Conferences"
"A Framework for Live Situational Awareness in Stream-Based 5G Applications","S. Loss; K. Costa; L. Gurgel; R. Sales; V. Brito; T. Batista; E. Cavalcante; F. Lopes; A. R. Neto; N. Cacho","Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil",2025 IEEE Latin Conference on IoT (LCIoT),"19 Aug 2025","2025","","","202","205","The increasing integration of technology into public safety systems generates vast amounts of data that demand efficient, real-time analytics to provide actionable insights. However, managing such large-scale data streams poses significant challenges, mainly due to the limited computational resources of edge devices and the high processing requirements. This paper introduces the Stream AI Analytics for Live Situational Awareness (SAALSA) framework, a solution that leverages 5G connectivity, Internet of Things (IoT) devices, edge computing, and artificial intelligence (AI) to address these challenges. A first-responder use case highlights the framework’s ability to facilitate real-time data processing for public safety scenarios and improve decision-making and operational efficiency.","","979-8-3315-1118-0","10.1109/LCIoT64881.2025.11118567","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11118567","situational awareness;public safety;Internet of Things;5G;edge computing;stream analytics","5G mobile communication;Decision making;Data processing;Public security;Real-time systems;Internet of Things;Artificial intelligence;Edge computing","","1","","6","IEEE","19 Aug 2025","23-25 April 2025","23-25 April 2025","IEEE","IEEE Conferences"
"Ai-Driven Strategies for Securing Internet of Battlefield Things(IoBT)","N. Kumar; K. Berwal; R. Verma; S. K. Vishvakarma","Faculty of Communication Engineering, Military College of Telecommunication Engineering, Mhow, MP, India; Faculty of Communication Engineering, Military College of Telecommunication Engineering, Mhow, MP, India; Faculty of Communication Engineering, Military College of Telecommunication Engineering, Mhow, MP, India; Department of EE, IIT Indore, Indore, India",2024 IEEE 4th International Conference on ICT in Business Industry & Government (ICTBIG),"13 Mar 2025","2024","","","1","6","1 The Internet of Battlefield Things (IoBT) represents a significant advancement in modern warfare, leveraging the power of interconnected devices, sensors, and autonomous systems to enhance situational awareness, decision-making, and operational efficiency. However, the increasing complexity and scale of IoBT also introduce significant cyber security challenges, including vulnerabilities to cyber attacks such as Distributed Denial of Service (DDoS), data tampering, and adversarial artificial intelligence (AI). This paper explores AI-driven strategies for securing IoBT ecosystems, focusing on leveraging machine learning algorithms, real-time threat detection, and autonomous response systems to mitigate cyber risks. It examines the role of AI in enhancing encryption protocols, identifying anomalous behaviors across battlefield networks, and responding to threats autonomously with minimal human intervention. Additionally, the paper proposes adaptive security frameworks that utilize AI to learn from evolving threats and protect sensitive battlefield information. Through a detailed analysis of current cybersecurity challenges and AI applications, this paper aims to contribute to the development of resilient, intelligent defense mechanisms capable of securing future IoBT deployments in dynamic and hostile environments.","","979-8-3315-1898-1","10.1109/ICTBIG64922.2024.10911399","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10911399","","Technological innovation;Autonomous systems;Decision making;Real-time systems;Threat assessment;Sensor systems;Internet;Artificial intelligence;Vehicle dynamics;Streams","","3","","13","IEEE","13 Mar 2025","13-14 Dec. 2024","13-14 Dec. 2024","IEEE","IEEE Conferences"
"Data fusion applications for military and civilian purposes developed on DND/LM Canada decision support testbed","E. Shahbazian; P. Bergeron; J. . -R. Duquet; A. Jouan; P. Valin","Lockheed Martin Canada, Montreal, QUE, Canada; Lockheed Martin Canada, Montreal, QUE, Canada; Lockheed Martin Canada, Montreal, QUE, Canada; Lockheed Martin Canada, Montreal, QUE, Canada; Lockheed Martin Canada, Montreal, QUE, Canada","Conference Record of the Thirty-Third Asilomar Conference on Signals, Systems, and Computers (Cat. No.CH37020)","6 Aug 2002","1999","1","","420","424 vol.1","Since 1991, the research and development (R&D) group at Lockheed Martin Canada (LM Canada) has been developing and demonstrating technologies which will provide observe-orient-decide-act (OODA) decision making capabilities/tools in naval and airborne command and control (C2) for application on Canadian Patrol Frigates (CPF) and Canada's CP-140 (Aurora) fixed wing aircraft. Over the last three years LM Canada has also established a generic expert system infrastructure and has demonstrated that it is suitable for integrating these decision making technologies into real-time command and control systems (CCSs). This infrastructure has proven to be very useful not only in the defence applications like CPF and Aurora, but also in LM Canada diversification efforts, specifically in intelligent transportation systems (ITS) and remote sensing. The paper describes the infrastructure, the generic testbed for decision support and the data fusion applications that have been implemented and are under development within this testbed for military and civilian purposes.","1058-6393","0-7803-5700-0","10.1109/ACSSC.1999.832364","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=832364","","Command and control systems;Decision making;Intelligent transportation systems;Testing;Research and development;Aircraft;Aerospace control;Expert systems;Real time systems;Remote sensing","","1","","4","IEEE","6 Aug 2002","24-27 Oct. 1999","24-27 Oct. 1999","IEEE","IEEE Conferences"
"End-to-End Encrypted IoT System for Military Communications","M. M. U. Rahman; M. A. S. Sunny; H. U. Arman; M. N. Islam; M. S. Reza; M. S. A. Khan","Department of CSE, MIST, Dhaka, Bangladesh; Department of CSE, IUBAT, Dhaka, Bangladesh; Department of EEE, Faridpur Engineering College, Faridpur, Bangladesh; Department of CSE, IUB, Dhaka, Bangladesh; Department of CSE, MIST, Dhaka, Bangladesh; Institute of Information Technology, University of Dhaka, Dhaka, Bangladesh","2025 International Conference on Quantum Photonics, Artificial Intelligence, and Networking (QPAIN)","29 Sep 2025","2025","","","1","6","This study presents a hybrid IoT communication system designed specifically for military operations. It seamlessly integrates low-latency ESP-NOW, a peer-to-peer wireless communication protocol, with long-range LoRa backhaul to ensure resilient squad-level coordination and secure command-center connectivity under contested conditions. At its core, the system implements end-to-end AES-128-CTR encryption reinforced by HMAC-SHA256 authentication and GPS-synchronized 15-minute key rotations, providing robust data confidentiality and integrity even in adversarial environments. A polymorphic network topology enables sub- 50 ms intra-mesh latency, self-healing under localized jamming, and adaptive spectrum utilization compared to single-protocol deployments. In addition, real-time geospatial tracking at 5 Hz and a three-layer edge-fog-cloud hierarchy support sub-8 s Observe-Orient-Decide-Act (OODA) loops, enhancing situational awareness and decision-making speed. Field trials in a contested $2 \mathbf{k m}^{\mathbf{2}}$ urban simulation validate compliance with MIL-STD-810H standards and demonstrate $\mathbf{9 8. 7 \%}$ message integrity over five-hop relays. By addressing security gaps, interoperability, and electromagnetic resilience, this work establishes a cohesive, scalable foundation for next-generation military IoT communications.","","979-8-3315-9694-1","10.1109/QPAIN66474.2025.11171856","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11171856","Military IoT;End-to-End Security;Communication;Hybrid Topology","Military standards;Military communication;Data privacy;Real-time systems;Peer-to-peer computing;Encryption;Jamming;Interoperability;Resilience;Backhaul networks","","","","21","IEEE","29 Sep 2025","31 July-2 Aug. 2025","31 July-2 Aug. 2025","IEEE","IEEE Conferences"
