"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Data Ingestions as a Service (DIaaS): A Unified Interface for Heterogeneous Data Ingestion, Transformation, and Metadata Management for Data Lake","H. V. Sreepathy; B. Dinesh Rao; M. Kumar Jaysubramanian; B. Deepak Rao","Manipal School of Information Sciences, Manipal Academy of Higher Education, Manipal, India; Manipal School of Information Sciences, Manipal Academy of Higher Education, Manipal, India; Frameworks and Tools, MulticoreWare, Coimbatore, India; Manipal School of Information Sciences, Manipal Academy of Higher Education, Manipal, India",IEEE Access,"29 Oct 2024","2024","12","","156131","156145","Data ingestion tools are critical component of Data Lake. Existing data ingestion tools face challenges of handling large variety, formats, sources of data. There exists void for unified data ingestion interface to handle the above research problems. This study proposes an innovative and integrated framework for data ingestion in a data lake, addressing the challenges posed by heterogeneous data sources, formats, and metadata management. The framework comprises three novel modules: First Unified Data Integration Connectors (UDIC), which provide seamless connectivity and data retrieval capabilities from diverse sources including databases, data warehouses, file systems, cloud storage, and APIs; Second, Adaptive Data Variety Transformation (ADVT), a module that intelligently handles the transformation and processing of structured, semi-structured, and unstructured data types, ensuring efficient ingestion into the data lake; and third, Intelligent Metadata Management (IMM), a module that captures, stores, and manages metadata associated with the ingested data, offering advanced search, discovery, and enrichment functionalities. Comparative study corroborates features offered by the service with existing data ingestion tools to evaluate the novelty and significance of the study. Performance validation shows varying ingestion latencies across different data types: approximately 148.1 microseconds per record for structured data, 234.2 microseconds per record for semi-structured data, 65.6 microseconds per kilobyte (KB) for video data, and 42.7 microseconds per KB for image data. These results underscore the importance of considering data structure and size in optimizing ingestion processes. Overall, this research aims to revolutionize data ingestion in data lake environments by providing a unified solution for handling diverse data sources, formats, and metadata management.","2169-3536","","10.1109/ACCESS.2024.3479736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10716380","Data ingestion;data lake;data sources;data formats;unified interface;data ingestion service;big data","Big Data applications;Metadata;Soft sensors;Real-time systems;Organizations;Java;Internet of Things;Relational databases;File systems;Data lakes","","5","","24","CCBYNCND","14 Oct 2024","2024","","IEEE","IEEE Journals"
"Cloud Big Data Lake for Advanced Analytics in Semiconductor Manufacturing","S. Sun; J. Ye; H. Schwarthoff; J. Rosin; V. Vakkalagadda; J. Chang; S. R. Ubbara; A. Chinthakindi","Data Science, Micron Technology Inc., Manassas, VA, USA; Process Integration Micron Technology Inc., Manassas, VA, USA; Smart Mfg Tech Solutions Micron Technology Inc., Boise, ID, USA; Information Technology Micron Technology Inc., Manassas, VA, USA; Data Science, Micron Technology Inc., Manassas, VA, USA; Smart Mfg Tech Solutions Micron Technology Inc., Boise, ID, USA; Smart Mfg Tech Solutions Micron Technology Inc., Boise, ID, USA; Front-end Central Quality Micron Technology Inc., Manassas, VA, USA",2024 35th Annual SEMI Advanced Semiconductor Manufacturing Conference (ASMC),"6 Jun 2024","2024","","","1","5","Data driven business intelligence is changing how semiconductor manufacturing thrives in the long term. A cloud big data lake is designed and implemented based on state-of-the-art cloud architecture providing complete services for data ingestion, storage, processing, advanced analytics, and machine learning with a high level of security. Efficient and effective use of this big data lake and data science enables problem solving and decision making to improve productivity and performance.","2376-6697","979-8-3503-8455-0","10.1109/ASMC61125.2024.10545365","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10545365","Cloud;Data Lake;Semiconductor Manufacturing;Big Data Analytics","Cloud computing;Soft sensors;Scalability;Machine learning;Lakes;Big Data;Semiconductor device manufacture","","","","5","IEEE","6 Jun 2024","13-16 May 2024","13-16 May 2024","IEEE","IEEE Conferences"
"Data Lakehouse in Action: Architecting a modern and scalable data analytics platform","P. Menon",NA,Data Lakehouse in Action: Architecting a modern and scalable data analytics platform,"","2022","","","","","Propose a new scalable data architecture paradigm, Data Lakehouse, that addresses the limitations of current data architecture patternsKey FeaturesUnderstand how data is ingested, stored, served, governed, and secured for enabling data analyticsExplore a practical way to implement Data Lakehouse using cloud computing platforms like AzureCombine multiple architectural patterns based on an organization’s needs and maturity levelBook DescriptionThe Data Lakehouse architecture is a new paradigm that enables large-scale analytics. This book will guide you in developing data architecture in the right way to ensure your organization's success. The first part of the book discusses the different data architectural patterns used in the past and the need for a new architectural paradigm, as well as the drivers that have caused this change. It covers the principles that govern the target architecture, the components that form the Data Lakehouse architecture, and the rationale and need for those components. The second part deep dives into the different layers of Data Lakehouse. It covers various scenarios and components for data ingestion, storage, data processing, data serving, analytics, governance, and data security. The book's third part focuses on the practical implementation of the Data Lakehouse architecture in a cloud computing platform. It focuses on various ways to combine the Data Lakehouse pattern to realize macro-patterns, such as Data Mesh and Data Hub-Spoke, based on the organization's needs and maturity level. The frameworks introduced will be practical and organizations can readily benefit from their application. By the end of this book, you'll clearly understand how to implement the Data Lakehouse architecture pattern in a scalable, agile, and cost-effective manner.What you will learnUnderstand the evolution of the Data Architecture patterns for analyticsBecome well versed in the Data Lakehouse pattern and how it enables data analyticsFocus on methods to ingest, process, store, and govern data in a Data Lakehouse architectureLearn techniques to serve data and perform analytics in a Data Lakehouse architectureCover methods to secure the data in a Data Lakehouse architectureImplement Data Lakehouse in a cloud computing platform such as AzureCombine Data Lakehouse in a macro-architecture pattern such as Data MeshWho this book is forThis book is for data architects, big data engineers, data strategists and practitioners, data stewards, and cloud computing practitioners looking to become well-versed with modern data architecture patterns to enable large-scale analytics. Basic knowledge of data architecture and familiarity with data warehousing concepts are required.","","9781801815109","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163024.pdf&bkn=10163024&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Big Data Pipeline with ML-Based and Crowd Sourced Dynamically Created and Maintained Columnar Data Warehouse for Structured and Unstructured Big Data","K. Ghane","Anagira, Inc.",2020 3rd International Conference on Information and Computer Technologies (ICICT),"14 May 2020","2020","","","60","67","The existing big data platforms take data through distributed processing platforms and store them in a data lake. The architectures such as Lambda and Kappa address the real-time and batch processing of data. Such systems provide real time analytics on the raw data and delayed analytics on the curated data. The data denormalization, creation and maintenance of a columnar dimensional data warehouse is usually time consuming with no or limited support for unstructured data. The system introduced in this paper automatically creates and dynamically maintains its data warehouse as a part of its big data pipeline in addition to its data lake. It creates its data warehouse on structured, semi-structured and unstructured data. It uses Machine Learning to identify and create dimensions. It also establishes relations among data from different data sources and creates the corresponding dimensions. It dynamically optimizes the dimensions based on the crowd sourced data provided by end users and also based on query analysis.","","978-1-7281-7283-5","10.1109/ICICT50521.2020.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9092124","Big Data;Data Lake;Data Warehouse;Data Pipeline;Machine Learning;Structured Data;Unstructured Data;Columnar Database","Data warehouses;Lakes;Real-time systems;Big Data;Distributed databases;Data mining","","8","","36","IEEE","14 May 2020","9-12 March 2020","9-12 March 2020","IEEE","IEEE Conferences"
"Corddl: An Efficient and Extensible Connector between Relational Databases and Data Lakes","T. Zhang; H. Liu; C. Yu; P. Wang","Research Center of Big Data Technology Nanhu Laboratory, JiaXing, China; Research Center of Big Data Technology Nanhu Laboratory, JiaXing, China; Research Center of Big Data Technology Nanhu Laboratory, JiaXing, China; Research Center of Big Data Technology Nanhu Laboratory, JiaXing, China","2023 5th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)","2 Apr 2024","2023","","","173","177","In the era of big data, data lakes have been widely used. However, enterprise applications generally do not interact directly with data lakes, but with relational databases. Relational databases may become data silos because they can only store structured data. In this paper, we proposed Corddl, a connector between relational databases and data lakes. For ingesting data from a relational database into a data lake, first, Corddl uses configuration files and parameters to match the data source class and data source instance for the analysis engine. Then, Corddl uses the JDBC driver to realize the connection to the relational database, and do data conversion according to the data type configuration file. Finally, the ingested data is written into the data lake. There is a similar process for ingesting data from a data lake into a relational database. Experimental results show that Corddl has high efficiency and strong extensibility.","2994-2977","979-8-3503-5993-0","10.1109/MLBDBI60823.2023.10481929","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10481929","big data;data lake;relational database;data ingestion;data conversion","Connectors;Data conversion;Soft sensors;Relational databases;Machine learning;Lakes;Big Data applications","","","","15","IEEE","2 Apr 2024","15-17 Dec. 2023","15-17 Dec. 2023","IEEE","IEEE Conferences"
"Optimizing SaaS Metrics with Advanced Data Processing and Machine Learning Techniques","R. M. Chetan; G. S. Mamatha","Department of Information Science & Engineering, RV College of Engineering, Bengaluru, India; Department of Information Science & Engineering, RV College of Engineering, Bengaluru, India",2024 8th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS),"1 Jan 2025","2024","","","1","6","In SaaS applications, optimizing metrics is essential for enhancing efficiency, user satisfaction, and performance. This paper presents a framework integrating advanced data processing and intelligent algorithms within a scalable data lake architecture, leveraging AWS services like Kinesis for real-time data ingestion, Glue for ETL, S3 for storage, and Redshift for warehousing. Amazon SageMaker enables predictive analytics and real-time anomaly detection, with Athena and QuickSight supporting querying and visualization. Experimental results show improved data processing, anomaly detection, and predictive accuracy, contributing to efficient resource allocation and customer retention. This framework provides SaaS providers with a robust solution for achieving performance and scalability in multi-tenant environments.","2767-1097","979-8-3315-0546-2","10.1109/CSITSS64042.2024.10816850","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10816850","SaaS;Data Lake;Machine Learning;Real-Time Analytics;Anomaly Detection;Amazon Web Services (AWS) [13];Kinesis Streams;AWS Glue;Amazon S3 [13];Amazon Redshift [13];Amazon SageMaker;Amazon Athena;Amazon QuickSight;Predictive Analytics;Multi-Tenant Environments;Data Processing;ETL (Extract, Transform, Load);Resource Optimization;Customer Retention","Measurement;Web services;Scalability;Computer architecture;Data processing;Big Data applications;Real-time systems;Resource management;Anomaly detection;Optimization","","","","15","IEEE","1 Jan 2025","7-9 Nov. 2024","7-9 Nov. 2024","IEEE","IEEE Conferences"
"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way","M. Kukreja; D. Zburivsky",NA; NA,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way","","2021","","","","","Understand the complexities of modern-day data engineering platforms and explore strategies to deal with them with the help of use case scenarios led by an industry expert in big dataKey FeaturesBecome well-versed with the core concepts of Apache Spark and Delta Lake for building data platformsLearn how to ingest, process, and analyze data that can be later used for training machine learning modelsUnderstand how to operationalize data models in production using curated dataBook DescriptionIn the world of ever-changing data and schemas, it is important to build data pipelines that can auto-adjust to changes. This book will help you build scalable data platforms that managers, data scientists, and data analysts can rely on. Starting with an introduction to data engineering, along with its key concepts and architectures, this book will show you how to use Microsoft Azure Cloud services effectively for data engineering. You'll cover data lake design patterns and the different stages through which the data needs to flow in a typical data lake. Once you've explored the main features of Delta Lake to build data lakes with fast performance and governance in mind, you'll advance to implementing the lambda architecture using Delta Lake. Packed with practical examples and code snippets, this book takes you through real-world examples based on production scenarios faced by the author in his 10 years of experience working with big data. Finally, you'll cover data lake deployment strategies that play an important role in provisioning the cloud resources and deploying the data pipelines in a repeatable and continuous way. By the end of this data engineering book, you'll know how to effectively deal with ever-changing data and create scalable data pipelines to streamline data science, ML, and artificial intelligence (AI) tasks.What you will learnDiscover the challenges you may face in the data engineering worldAdd ACID transactions to Apache Spark using Delta LakeUnderstand effective design strategies to build enterprise-grade data lakesExplore architectural and design patterns for building efficient data ingestion pipelinesOrchestrate a data pipeline for preprocessing data using Apache Spark and Delta Lake APIsAutomate deployment and monitoring of data pipelines in productionGet to grips with securing, monitoring, and managing data pipelines models efficientlyWho this book is forThis book is for aspiring data engineers and data analysts who are new to the world of data engineering and are looking for a practical guide to building scalable data platforms. If you already work with PySpark and want to use Delta Lake for data engineering, you'll find this book useful. Basic knowledge of Python, Spark, and SQL is expected.","","9781801074322","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163257.pdf&bkn=10163257&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"AI-optimized data Lakes for Real-Time Big Data Management and Autonomous Query Optimization","G. Ramesh; N. V. Sivareddy; L. H. Jasim; P. Murugeswari; B. Kumaraswamy; M. L","Department of CSE, Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad, Telangana, India; Department of Computer Science and Engineering, CMR Institute of Technology, Hyderabad; Department of Computers Techniques Engineering, College of Technical Engineering, The Islamic University, Najaf, Iraq, Al Diwaniyah, Iraq; Department of Electrical Communication Engineering, Sethu Institute of Technology, Pulloor, Kariapatti, Tamil Nadu, India; Department of CS & IT, Kalinga University, Raipur, India; Department of Mathematics, Saveetha Institute of Medical and Technical Sciences, Chennai, Tamilnadu, India",2025 International Conference on Metaverse and Current Trends in Computing (ICMCTC),"17 Oct 2025","2025","","","1","5","Due to the massive explosion of big data, efficient data lakes with ‘real-time’ data management and ‘autonomous’ query optimization have become inevitable. One of the problems attached to traditional data lakes is the difficulty of retrieving data, which is slow to query, inefficiently, and with high complexities of schema evolution the ability of the data lake to optimize workloads dynamically. To overcome these problems, the work presented in this paper brings forward the concept of an AI-optimized data lake framework that exploits machine learning and deep learning for intelligent data ingestion, adaptive indexing as well as self-optimizing query execution. The system is proposed to incorporate hierarchical storage management with AI-driven, self-studying indexing mechanisms, and reinforcement learning-aided query optimization to improve data retrieval efficiency. Furthermore, through an integrated AI-powered anomaly detection system, data processing is made robust and reliable in real time. On top of that the framework also involves autonomous governance and security that can use explainable AI for compliance auditing and a dynamic role-based access control (RBAC). Experimental evaluations show that, with up to a 90% time saving, and with real-time decision-making capabilities, it improves over both aspects in a variety of data workloads. This research brings forth the integration of AI-based optimizations for the development of a broad and flexible framework for intelligently and scaleably building large data lake architectures, thus becoming the future-ready solution for any big data ecosystem within healthcare, financial, or IoT-based smart systems.","","979-8-3315-3821-7","10.1109/ICMCTC62214.2025.11196397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11196397","Role-based access control;AI-driven;Healthcare;Hadoop Distributed File System","Access control;Data ingestion;Accuracy;Query processing;Storage management;Medical services;Big Data applications;Real-time systems;Anomaly detection;Indexing","","","","14","IEEE","17 Oct 2025","10-11 April 2025","10-11 April 2025","IEEE","IEEE Conferences"
"Business Intelligence with Databricks SQL: Concepts, tools, and techniques for scaling business intelligence on the data lakehouse","V. Gupta",NA,"Business Intelligence with Databricks SQL: Concepts, tools, and techniques for scaling business intelligence on the data lakehouse","","2022","","","","","Master critical skills needed to deploy and use Databricks SQL and elevate your BI from the warehouse to the lakehouse with confidenceKey FeaturesLearn about business intelligence on the lakehouse with features and functions of Databricks SQLMake the most of Databricks SQL by getting to grips with the enablers of its data warehousing capabilitiesA unique approach to teaching concepts and techniques with follow-along scenarios on real datasetsBook DescriptionIn this new era of data platform system design, data lakes and data warehouses are giving way to the lakehouse – a new type of data platform system that aims to unify all data analytics into a single platform. Databricks, with its Databricks SQL product suite, is the hottest lakehouse platform out there, harnessing the power of Apache Spark™, Delta Lake, and other innovations to enable data warehousing capabilities on the lakehouse with data lake economics. This book is a comprehensive hands-on guide that helps you explore all the advanced features, use cases, and technology components of Databricks SQL. You’ll start with the lakehouse architecture fundamentals and understand how Databricks SQL fits into it. The book then shows you how to use the platform, from exploring data, executing queries, building reports, and using dashboards through to learning the administrative aspects of the lakehouse – data security, governance, and management of the computational power of the lakehouse. You’ll also delve into the core technology enablers of Databricks SQL – Delta Lake and Photon. Finally, you’ll get hands-on with advanced SQL commands for ingesting data and maintaining the lakehouse. By the end of this book, you’ll have mastered Databricks SQL and be able to deploy and deliver fast, scalable business intelligence on the lakehouse.What you will learnUnderstand how Databricks SQL fits into the Databricks Lakehouse PlatformPerform everyday analytics with Databricks SQL Workbench and business intelligence toolsOrganize and catalog your data assetsProgram the data security model to protect and govern your dataTune SQL warehouses (computing clusters) for optimal query experienceTune the Delta Lake storage format for maximum query performanceDeliver extreme performance with the Photon query execution engineImplement advanced data ingestion patterns with Databricks SQLWho this book is forThis book is for business intelligence practitioners, data warehouse administrators, and data engineers who are new to Databrick SQL and want to learn how to deliver high-quality insights unhindered by the scale of data or infrastructure. This book is also for anyone looking to study the advanced technologies that power Databricks SQL. Basic knowledge of data warehouses, SQL-based analytics, and ETL processes is recommended to effectively learn the concepts introduced in this book and appreciate the innovation behind the platform.","","9781803237596","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163377.pdf&bkn=10163377&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Examining Amazon Customer Reviews using PySpark and AWS: A Data Lake Approach","R. S; A. S. Karthik; M. H. S. M. K. Karthik; M. Jayasurya; S. Yashwanth","Dept. of Computer Science and Engineering, Amrita Vishwa Vidyapeetham; Dept. of Computer Science and Engineering, Amrita Vishwa Vidyapeetham; Dept. of Computer Science and Engineering, Amrita Vishwa Vidyapeetham; Dept. of Computer Science and Engineering, Amrita Vishwa Vidyapeetham; Dept. of Computer Science and Engineering, Amrita Vishwa Vidyapeetham",2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),"23 Nov 2023","2023","","","1","6","In the contemporary world, big data analysis with PySpark and AWS has become quite handy. Large multinational companies, including Walmart, trivago, and countless others are using big data. And with the assistance of AWS, which offers a variety of services like glue, Athena, S3, etc., becoming extremely beneficial for cloud storage purposes and also for creating data migration pipelines. Any RDBMS database server might send tens of gigabytes of data to an Amazon S3 bucket using the ETL architecture. Our primary goal in this project is to use PySpark to construct an ETL pipeline for data migration. Amazon wireless devices review analysis, Amazon watches review analysis, Amazon books review analysis, Amazon shoes review analysis, and Amazon musical instruments review analysis are the five separate datasets on which we conducted our analysis. The datasets considered for the analysis are Amazon watch reviews, book reviews, shoe reviews, wireless device reviews and musical instrument reviews . The goal of the project is to obtain the ratio of the number of trustworthy, real reviews to untrusted reviews and a comparison in done in the form of graphs.","2473-7674","979-8-3503-3509-5","10.1109/ICCCNT56998.2023.10307845","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10307845","Athena;AWS;ETL Glue;Pipeline;PySpark;RDBMS","Wireless communication;Cloud computing;Instruments;Pipelines;Music;Companies;Footwear","","","","17","IEEE","23 Nov 2023","6-8 July 2023","6-8 July 2023","IEEE","IEEE Conferences"
