"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Integrated Framework for Simulated Business Intelligence and Real-Time Analytics to Enhance Agility in Industry 4.0 Decision-Making","B. I. Sowan; A. Altarawneh; M. Fasha","Dept. of Bus. Intell. & Data Analytics, University of Petra, Amman, Jordan; Dept. of Computer Science, Brunel University of London, London, UK; Dept. of Bus. Intell. & Data Analytics, University of Petra, Amman, Jordan",2025 1st International Conference on Computational Intelligence Approaches and Applications (ICCIAA),"2 Jun 2025","2025","","","1","6","Agility and real-time responsiveness are critical for achieving competitiveness in Industry 4.0. This study introduces an innovative framework that integrates simulation-driven business intelligence and real-time analytics to enhance decision-making processes in dynamic industrial environments. The proposed framework employs advanced multi-agent systems, operational data stores, and machine learning models to process high-velocity data streams, optimize operational workflows, and provide actionable insights. By adopting a layered architecture for data integration, simulation, and decision support, the framework ensures adaptability and scalability. Experimental results demonstrate significant improvements in processing speed, predictive accuracy, and decision latency when compared to traditional approaches. Applications across sectors such as manufacturing and logistics validate its effectiveness, showcasing its ability to transform raw data into valuable insights for strategic and operational decisions. This work establishes a solid foundation for future research, including blockchain integration for secure decision-making and real-time analytics in smart city ecosystems.","","979-8-3315-2365-7","10.1109/ICCIAA65327.2025.11013709","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11013709","Supply Simulated Business Intelligence;Real-Time Analytics;Organizational Agility;Industry 4.0;Multi-Agent Systems;Decision Support Framework","Smart cities;Scalability;Decision making;Transforms;Solids;Real-time systems;Fourth Industrial Revolution;Business intelligence;Streams;Multi-agent systems","","","","20","IEEE","2 Jun 2025","28-30 April 2025","28-30 April 2025","IEEE","IEEE Conferences"
"A Framework for Live Situational Awareness in Stream-Based 5G Applications","S. Loss; K. Costa; L. Gurgel; R. Sales; V. Brito; T. Batista; E. Cavalcante; F. Lopes; A. R. Neto; N. Cacho","Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil",2025 IEEE Latin Conference on IoT (LCIoT),"19 Aug 2025","2025","","","202","205","The increasing integration of technology into public safety systems generates vast amounts of data that demand efficient, real-time analytics to provide actionable insights. However, managing such large-scale data streams poses significant challenges, mainly due to the limited computational resources of edge devices and the high processing requirements. This paper introduces the Stream AI Analytics for Live Situational Awareness (SAALSA) framework, a solution that leverages 5G connectivity, Internet of Things (IoT) devices, edge computing, and artificial intelligence (AI) to address these challenges. A first-responder use case highlights the framework’s ability to facilitate real-time data processing for public safety scenarios and improve decision-making and operational efficiency.","","979-8-3315-1118-0","10.1109/LCIoT64881.2025.11118567","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11118567","situational awareness;public safety;Internet of Things;5G;edge computing;stream analytics","5G mobile communication;Decision making;Data processing;Public security;Real-time systems;Internet of Things;Artificial intelligence;Edge computing","","1","","6","IEEE","19 Aug 2025","23-25 April 2025","23-25 April 2025","IEEE","IEEE Conferences"
"Research on the Application of Flink Streaming Data Technology in the Construction of Automobile Internationalization Platform","K. Kai; G. Yaxin; Z. Fan","China Automotive Technology and Research Center Co., Ltd., Tianjin, China; China Automotive Technology and Research Center Co., Ltd., Tianjin, China; China Automotive Technology and Research Center Co., Ltd., Tianjin, China","2025 Asia-Europe Conference on Cybersecurity, Internet of Things and Soft Computing (CITSC)","27 Mar 2025","2025","","","778","782","This paper analyzes the core advantages of Flink streaming data technology, including high throughput, low latency and strong scalability, and shows its superiority in processing large-scale automobile data streams. Aiming at the complex business needs of the automobile internationalization platform, a streaming data fusion algorithm is designed, which can integrate multi-source data from different countries and regions in real time, such as user behavior data, vehicle performance data and market feedback data. The algorithm optimizes the data stream processing process to achieve efficient data integration and analysis, and provides support for real-time decision-making of the platform. To verify the effect of the algorithm, this paper conducts model simulation based on Flink streaming data technology. The results show that the algorithm can significantly improve the platform response speed and data processing accuracy when processing cross-border data. Specifically, the simulation data shows that the response time of the platform is reduced by about 30% when the data flow is high, and the data processing accuracy is improved by 15%. In addition, the accuracy of the platform in market demand forecasting is improved by 20%, which enhances the stability and efficiency when facing massive data. The experimental results show that the proposed streaming data fusion algorithm significantly improves the real-time decision-making ability of the platform, especially in cross-border data integration and market demand forecasting.","","979-8-3315-0420-5","10.1109/CITSC64390.2025.00145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10936478","Flink stream;automobile internationalization platform;stream data fusion algorithm;data technology","Accuracy;Data integration;Demand forecasting;Throughput;Real-time systems;Stability analysis;Automobiles;Low latency communication;Streams;Automotive engineering","","2","","8","IEEE","27 Mar 2025","10-12 Jan. 2025","10-12 Jan. 2025","IEEE","IEEE Conferences"
"IoT-Driven Predictive Maintenance in Industry 4.0 Using Optimized Granger-Inspired GNN and Decision Support System with Big Data","V. V. Patil","Department of AI and DS, Shri Chhatrapati Shivaji Maharaj College of Engineering, Maharashtra, India","2025 IEEE 7th International Conference on Computing, Communication and Automation (ICCCA)","19 Jan 2026","2025","","","1","5","Traditional methods fail to satisfy contemporary industrial needs but the rapid development of Industry 4.0 makes it possible to maintain factories through the integration of data systems with Internet of Things. The implementation of modern maintenance techniques results in multiple performance issues together with unanticipated equipment malfunctions and increasing operational costs for business operations. This research establishes an IoT-based predictive maintenance structure which encompasses GNN with optimized decision support systems features. Circular measurement using streaming operational data becomes possible after industrial machines receive IoT sensors through the implementation of the system. A Granger Causality-Inspired GNN model specially designed to handle this specific data type performs efficiently for detecting dependencies between machine components and delivering dependable failure predictions successfully. The predictive model shows better performance than traditional approaches because it builds failure identification through causal relationships. A Decision Support System (DSS) operates together with the framework to use predictive insights that help select proactive maintenance approaches which cut maintenance time and maximize resources. The efficiency of systems improves through big data analytics because it analyses significant industrial data to create flexible performance within various industrial applications. Experimental runs demonstrate that the deployed strategy enhances both accurate forecasts and decreases faulty indications thus enabling optimized maintenance program operations for better operational productivity and lower expenditure. The system integrates IoT technology with deep learning approaches together with decision intelligence to develop an Industry 4.0 suitable intelligent predictive maintenance program. Analysis proves that linking graph-based learners to industrial IoT networks develops predictive proactive maintenance operations at lower expense.","","979-8-3315-6980-8","10.1109/ICCCA66364.2025.11325385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11325385","IoT;Predictive Maintenance;Graph Neural Network;Granger Causality;Decision Support System;Industry 4.0;Big Data Analytics","Decision support systems;Accuracy;Big Data;Predictive models;Graph neural networks;Real-time systems;Maintenance;Fourth Industrial Revolution;Sensors;Predictive maintenance","","","","13","IEEE","19 Jan 2026","28-30 Nov. 2025","28-30 Nov. 2025","IEEE","IEEE Conferences"
"Information management and decision support in critical infrastructure emergencies at the local level","C. J. Romanowski; S. Mishra; R. K. Raj; T. Howles; J. Schneider","Rochester Institute of Technology, Rochester, New York, USA; Rochester Institute of Technology, Rochester, New York, USA; Rochester Institute of Technology, Rochester, New York, USA; Rochester Institute of Technology, Rochester, New York, USA; Rochester Institute of Technology, Rochester, New York, USA",2013 IEEE International Conference on Technologies for Homeland Security (HST),"2 Jan 2014","2013","","","113","118","In a critical infrastructure disaster incident, emergency managers are often compelled to make time-critical decisions based on incomplete information streaming in at disparate times from multiple data sources. As the incident progresses, the ability to predict where additional resources will be needed is crucial to both response and recovery. Decision making and prediction in this context requires combining (fusing) incoming data streams; presenting relevant information from these streams in a form appropriate for each user; and using data from similar historical events to predict resource needs and incident evolution. This paper discusses the role of data fusion, data integration, and data mining in decision making for municipal or regional emergency managers. It also explores the implementation of web-based decision support tools. Finally, the paper makes recommendations for improving information management and streamlining decision support.","","978-1-4799-1535-4","10.1109/THS.2013.6698985","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6698985","critical infrastructure protection;emergency operations;data fusion;decision support;data mining","Data integration;Fires;Real-time systems;Decision making;Databases;Data mining;Information management","","5","","15","IEEE","2 Jan 2014","12-14 Nov. 2013","12-14 Nov. 2013","IEEE","IEEE Conferences"
"Digital Twin-Enabled Urban Management: Multi-Modal Data Fusion for Real-Time City Simulation and Prediction","R. Praveen; N. S. Boob; M. MuhsnHasan; S. Bansal; L. Kansal; B. Rajalakshmi","Utilities America, LTIMindtree Limited, Houston, Texas, USA; Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Chennai, Tamilnadu, India; Department of Computers Techniques Engineering, College of Technical Engineering, The Islamic University, Najaf, Iraq; Department of Electronics and Communication Engineering, GLA University, Mathura, India; Lovely Professional University, Phagwara, India; Department of Computer Science Engineering, New Horizon College of Engineering, Bangalore, India",2025 International Conference on Computing and Communications (COMPUTINGCON),"20 Feb 2026","2025","","","1","7","The growing complexity of modern urban environments demands advanced solutions for dynamic monitoring, simulation, and management. Digital Twin (DT) technology, when coupled with multi-modal data fusion, presents a transformative approach to real-time urban simulation and predictive analytics. This paper explores the integration of heterogeneous data sources-such as IoT sensor feeds, satellite imagery, social media streams, and traffic logsinto a unified digital twin framework for smart city governance. The proposed methodology employs machine learning algorithms and AI-driven fusion techniques to synchronize virtual representations with real-world conditions in near real-time. By enabling accurate city-scale modeling and forecasting, the framework supports informed decision-making in areas such as traffic control, environmental monitoring, public safety, and infrastructure maintenance. Experimental results from a pilot implementation demonstrate improvements in urban resilience, response time, and resource optimization. This study contributes to the advancement of intelligent urban systems by offering a scalable and adaptive model that enhances city situational awareness and operational efficiency through digital twin-enabled simulation.","","979-8-3315-2253-7","10.1109/COMPUTINGCON64838.2025.11376962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11376962","Digital Twin;Smart City;Multi-Modal Data Fusion;Real-Time Simulation;Urban Prediction;AI-Enabled Governance","Accuracy;Smart cities;Social networking (online);Data integration;Predictive models;Real-time systems;Digital twins;Satellite images;Synchronization;Optimization","","","","13","IEEE","20 Feb 2026","1-3 Sept. 2025","1-3 Sept. 2025","IEEE","IEEE Conferences"
"Immersive Financial Data Visualization Using Augmented Reality Smart Glasses: A Framework for Real-Time Investment Decision Support","S. Meganathan","The University of Texas at Austin, Austin, TX, USA",2025 2nd International Conference on Electronic Circuits and Signaling Technologies (ICECST),"30 Dec 2025","2025","","","940","946","This study introduces a modular and scalable system for real-time financial data visualisation utilising AR smart glasses for immersive and intuitive investment decision-making. In the proposed system architecture, a Data Integration Layer processes high-frequency financial streams using real-time preprocessing, a Spatial Visualisation Engine renders dynamic charts and heatmaps using optimised AR rendering, and an Interaction System allows gesture, voice, and eye-tracking-based control. The Unity3D-developed system prototype for Microsoft HoloLens and Nreal Air shows interactive 3D financial dashboards in actual space. Decision accuracy, cognitive burden, and user satisfaction are better than desktop-based interfaces in varied user tests. Biometric authentication and visual obfuscation protect privacy, while adaptation testing assures performance in different environments. The findings show that AR can improve financial data interpretation by improving clarity, engagement, and situational awareness in real time. AI-driven personalisation and financial institution implementation are future goals.","","979-8-3315-9481-7","10.1109/ICECST66106.2025.11307512","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11307512","Augmented Reality;Financial Data Visualization;Smart Glasses;Real-Time Analytics;Investment Decision Support;Human-Computer Interaction;Biometric Authentication","Decision making;Data visualization;Prototypes;Data integration;Rendering (computer graphics);Real-time systems;Spatial databases;Investment;Smart glasses;Testing","","","","23","IEEE","30 Dec 2025","23-25 Oct. 2025","23-25 Oct. 2025","IEEE","IEEE Conferences"
"Fusing Information, Crowdsourcing and Mobility","V. Zadorozhny; M. Lewis","School of Information Sciences, University of Pittsburgh, Pittsburgh, PA, USA; School of Information Sciences, University of Pittsburgh, Pittsburgh, PA, USA",2014 IEEE 15th International Conference on Mobile Data Management,"9 Oct 2014","2014","2","","4","6","In this seminar we will consider how concepts of information fusion, crowdsourcing and mobility complement each other and accelerate novel advanced research directions in mobile data management. We will elaborate on each of those concepts and explore their synergy under a prominent scenario of situation assessment in multi-robot search and rescue missions.","2375-0324","978-1-4799-5705-7","10.1109/MDM.2014.77","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6916865","","Crowdsourcing;Streaming media;Data integration;Robot kinematics;Mobile communication;Educational institutions","","","","14","IEEE","9 Oct 2014","14-18 July 2014","14-18 July 2014","IEEE","IEEE Conferences"
"Using heterogeneous multilevel swarms of UAVs and high-level data fusion to support situation management in surveillance scenarios","P. Bouvry; S. Chaumette; G. Danoy; G. Guerrini; G. Jurquet; A. Kuwertz; W. Muller; M. Rosalie; J. Sander","University of Luxembourg, SnT/FSTC-CSC, Luxembourg; Univ. Bordeaux, LaBRI, Talence, France; University of Luxembourg, SnT/FSTC-CSC, Luxembourg; Thales Airborne Systems, Pessac, France; Thales Airborne Systems, Pessac, France; Fraunhofer IOSB, Karlsruhe, Germany; Fraunhofer-Institut fur Optronik Systemtechnik und Bildauswertung, Karlsruhe, Baden-WÃ¼rttemberg, DE; University of Luxembourg, SnT/FSTC-CSC, Luxembourg; Fraunhofer IOSB, Karlsruhe, Germany",2016 IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems (MFI),"13 Feb 2017","2016","","","424","429","The development and usage of Unmanned Aerial Vehicles (UAVs) quickly increased in the last decades, mainly for military purposes. This technology is also now of high interest in non-military contexts like logistics, environmental studies and different areas of civil protection. While the technology for operating a single UAV is rather mature, additional efforts are still necessary for using UAVs in fleets (or swarms). The Aid to SItuation Management based on MUltimodal, MUltiUAVs, MUltilevel acquisition Techniques (ASIMUT) project which is supported by the European Defence Agency (EDA) aims at investigating and demonstrating dedicated surveillance services based on fleets of UAVs. The aim is to enhance the situation awareness of an operator and to decrease his workload by providing support for the detection of threats based on multi-sensor multi-source data fusion. The operator is also supported by the combination of information delivered by the heterogeneous swarms of UAVs and by additional information extracted from intelligence databases. As a result, a distributed surveillance system increasing detection, high-level data fusion capabilities and UAV autonomy is proposed.","","978-1-4673-9708-7","10.1109/MFI.2016.7849525","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7849525","","Surveillance;Data integration;Cameras;Optical sensors;Optical imaging;Streaming media;Unmanned aerial vehicles","","25","","19","IEEE","13 Feb 2017","19-21 Sept. 2016","19-21 Sept. 2016","IEEE","IEEE Conferences"
"An Integrated UGV-UAV System for Real-Time Disaster Management: A Multi-Protocol Communication Framework","R. Hejazi; M. Iqbal; A. Ara; D. Jaber","College of Computer and Information Sciences, Prince Sultan University, Riyadh, Saudi Arabia; College of Communications and Networks Engineering, Prince Sultan University, Riyadh, Saudi Arabia; College of Computer and Information Sciences, Prince Sultan University, Riyadh, Saudi Arabia; College of Communications and Networks Engineering, Prince Sultan University, Riyadh, Saudi Arabia",2025 8th International Conference on Enterprise Systems (ES),"29 Aug 2025","2025","","","1","6","In response to the increasing frequency and severity of natural disasters, the need for efficient and reliable disaster management systems has become more critical than ever. This paper presents the design and implementation of an integrated disaster management framework that leverages Unmanned Ground Vehicles (UGVs) and Unmanned Aerial Vehicles (UAVs) for real-time environmental assessment and search operations. The proposed system employs a multi-protocol communication architecture to enhance data transmission reliability, utilizing the MQTT protocol for lightweight and efficient messaging and RTMP for live video streaming. Additionally, the system incorporates AI-driven face detection and recognition capabilities to improve personnel identification in disaster zones, achieving a mean Average Precision (mAP) of 45.63%. Experimental evaluations demonstrate the effectiveness of the proposed system in maintaining low-latency communication and high-accuracy AI-based recognition, underscoring its potential to enhance disaster response efficiency and decision-making. This research contributes to the advancement of resilient and intelligent disaster management solutions, paving the way for future improvements in autonomous search and rescue operations.","2572-6609","979-8-3315-8890-8","10.1109/ES64449.2025.11136250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11136250","Disaster Management;Unmanned Ground Vehicles (UGVs);Unmanned Aerial Vehicles (UAVs);Real-time Video Streaming;MQTT Protocol;RTMP Protocol;Face Detection and Recognition;Communication Protocols;IoT (Internet of Things);Flask Web Server;MongoDB;Nginx;Real-time Data Communication","Protocols;Disasters;Face recognition;Disaster management;Real-time systems;Land vehicles;Reliability;Internet of Things;Face detection;Data communication","","","","18","IEEE","29 Aug 2025","12-13 April 2025","12-13 April 2025","IEEE","IEEE Conferences"
