"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Network-centric warfare: impact on army operations","F. Stein; J. Garska; P. L. McIndoo","MITRE Corporation, Fort Hood, TX, USA; JCS J6, Washington D.C., DC, USA; MITRE Corporation, Eatontown, NJ, USA",IEEE/AFCEA EUROCOMM 2000. Information Systems for Enhanced Public Safety and Security (Cat. No.00EX405),"6 Aug 2002","2000","","","288","295","The American military foresees five new concepts emerging to guide the future operations of joint military forces. The first four are dominant maneuver, precision engagement, focused logistics, and full-dimensional protection. The fifth is information superiority-which will enable the first four concepts. This paper outlines these concepts and explains how the power of the network, through network-centric computing, is used to achieve information superiority. The paper conceptualizes information superiority as being achieved through three ad hoc grids: sensors, information, and shooters. These grids will coalesce as needed from existing resources: sensor platforms, computational nodes, weapons platforms, and communications links. These resources are intentionally designed to be pulled together to serve the Joint commander's needs, for an entire campaign or a single battle. Commanders will use the power of their vast information resources to engage and overwhelm the enemy through the exercise of all five operational concepts. The paper concludes with examples from Army tests and experiments showing how the power of information is changing the way battles are fought-and won.","","0-7803-6323-X","10.1109/EURCOM.2000.874819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=874819","","Military computing;Computer networks;Grid computing;Computer vision;Protection;Command and control systems;Weapons;Sensor phenomena and characterization;XML;Computer architecture","","6","1","","IEEE","6 Aug 2002","19-19 May 2000","19-19 May 2000","IEEE","IEEE Conferences"
"An IoT Inspired Distributed Data Fusion Architecture for Coastal Surveillance Applications","J. F. B. Brancalion; S. S. Dias","EMBRAER S.A. São José dos Campos, Brazil; EMBRAER S.A. São José dos Campos, Brazil",2020 IEEE 23rd International Conference on Information Fusion (FUSION),"10 Sep 2020","2020","","","1","7","In this paper, we address the distributed data fusion problem considering a real scenario with multiple sensor sites geographically scattered around a bay. The advance of IoT, with more and more objects being connected, delivering and sharing huge amount of data, represents a big challenge. A timely fusion, using data obtained from different sources, like IoT and others, to provide efficient, reliable and accurate information to the decision makers is a requirement of modern data fusion systems. The paper presents a conceptual approach for a distributed data fusion system, applied in a maritime environment, where the common operational picture is obtained through a tactical datalink network. The concept and implementation of the proposed system follows the paradigm of Network Centric Warfare, which is an information age theory of warfare.","","978-0-578-64709-8","10.23919/FUSION45008.2020.9190591","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9190591","distributed data fusion system;network centric warfare;datalink system;common operational picture;IoT","Data integration;Estimation;Ad hoc networks;Surveillance;Artificial intelligence;Wireless sensor networks;Communication networks","","1","","34","","10 Sep 2020","6-9 July 2020","6-9 July 2020","IEEE","IEEE Conferences"
"Integration of NCW Sensor Networks and the Grid","Y. Tihua; W. Baoshu","School of Computer Science and Technology, Xidian University, Xi'an, China; School of Computer Science and Technology, Xidian University, Xi'an, China","2006 International Conference on Communications, Circuits and Systems","15 Jan 2007","2006","4","","2809","2813","Sensor networks consist of large numbers of network sensors that can be dynamically deployed in the battlefield and used for situational awareness in network centric warfare (NCW). In this paper, our purpose is to dynamically integrate these sensor networks with grid service to support real-time sensing, exploitation and decision-making in a rich tactical environment. Heterogeneous sensors' capabilities are described with XML so that grid service can be dynamically discovered and used by various end-user and intermediate processing applications. In addition, we simulate our middleware model with the help of GT3.","","0-7803-9584-0","10.1109/ICCCAS.2006.285251","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4064498","","Military computing;Intelligent sensors;Joining processes;Sensor fusion;Computer science;Decision making;Sensor phenomena and characterization;XML;Computer networks;Electronic warfare","","","","10","IEEE","15 Jan 2007","25-28 June 2006","25-28 June 2006","IEEE","IEEE Conferences"
"A Data Fusion Multi-Agent System of Sensor Network based on Data Fields","Y. Sun; G. Chen; D. Li; F. Li","PLA Communication and Command Institute, Wuhan, China; China Institute of Electronic System Engineering, Beijing, China; China Institute of Electronic System Engineering, Beijing, China; PLA Communication and Command Institute, Wuhan, China","The Proceedings of the Multiconference on ""Computational Engineering in Systems Applications""","30 Jul 2007","2006","2","","2132","2136","Sensor network is the key for the network centric warfare. With the goal of providing mobile commanders with the improved situational awareness that result from a shared common operational picture, multi-sensor data fusion technologies of the battlefield become a crucial issue. In this paper, a cooperating multi-agent architecture sentinel-agent model is introduced, which provides a data fusion framework with autonomous asynchronous mobile software agents to migrate among computing nodes in a network and exploit the resources at those nodes. Then a data fusion model based on data field is introduced and analysed in detail.","","7-302-13922-9","10.1109/CESA.2006.4281990","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4281990","Sensor Network;Multi-Agent System;Data Fusion;Data Field","Multiagent systems;Sensor fusion;Sensor systems;Sensor phenomena and characterization;Wireless sensor networks;Systems engineering and theory;Sun;Programmable logic arrays;Fusion power generation;Infrared sensors","","1","","8","","30 Jul 2007","4-6 Oct. 2006","4-6 Oct. 2006","IEEE","IEEE Conferences"
"Clustering Methods for Multi-sensor Data Fusion","L. Han; Z. Lei","Postgraduate Team 1 ICE, People's Liberation Army University of Science and Technology, Nanjing, China; Department of Telecommunication Engineering ICE, People's Liberation Army University of Science and Technology, Nanjing, China",2012 International Conference on Industrial Control and Electronics Engineering,"4 Oct 2012","2012","","","1166","1169","In the network-centric warfare, the complete battlefield situation information and attack information for weapons can be collected and calculated by multiple sensor platforms, and the results can be distributed to the command and control systems and weapon platforms to complete target attack tasks. Track initiation is the primary problem in multi-source multi-target track processing, correct track initiation can not only reduce the calculation burden of post-processing in multi-target tracking, but also be meaningful to the discovery of interfered interesting target. Centralized algorithm first fuses the raw sensor data, and then starts the track tracing with fused points, weight the clustered sample points to fuse sample points. Clustering could be generalized from the active radar side and the passive radar side. Further more, effects caused by obstacle constraints are also discussed.","","978-1-4673-1450-3","10.1109/ICICEE.2012.309","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6322598","Clustering;Multi-sensor data fusion;Track initiation;Obstacle constraints","Radar tracking;Target tracking;Clustering algorithms;Transforms;Passive radar;Radar detection","","3","","14","IEEE","4 Oct 2012","23-25 Aug. 2012","23-25 Aug. 2012","IEEE","IEEE Conferences"
"Open Networks: Generalized Multi-Sensor Characterization","A. N. Steinberg","CUBRC, Inc., Bethesda, MD, USA",2006 9th International Conference on Information Fusion,"12 Feb 2007","2006","","","1","7","This paper examines issues in characterizing the performance of information sources as necessary for data fusion and coordination in a net-centric environment. In many practical applications, interacting agents have various degrees-and possibly time-varying degrees-of allegiance, common purpose, cooperativeness, information fidelity, controllability, etc. Agents share information with friends, foes and innocent bystanders alike, with varying degrees of cooperativeness and openness. In such cases, each network node needs to explicitly estimate the performance, trustworthiness and allegiance of all other contributing nodes as a part of the general multi-sensor/multi-target state estimation process. A sensor's or information system's reporting bias-which may include intentional or unintentional human biases-is distinguished from its measurement bias. The problem is compared with that of measurement bias estimation, e.g. in target tracking. Formulations for estimation of biases in discrete variable reporting-e.g. in target classification or activity state reporting-are explored","","1-4244-0953-5","10.1109/ICIF.2006.301665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4085951","reporting bias;situation assessment;threat assessment;closed-loop data fusion;network-centric warfare;network-centric operations;sensor/source characterization;data alignment;registration;calibration;information warfare","State estimation;Sensor phenomena and characterization;Calibration;Sensor fusion;Sensor systems;Controllability;Military computing;Humans;Target tracking;Libraries","","5","","23","","12 Feb 2007","10-13 July 2006","10-13 July 2006","IEEE","IEEE Conferences"
"High-Level Data Fusion","S. Das",NA,High-Level Data Fusion,"","2008","","","","","Master cutting-edge Level 2 fusion techniques that help you develop powerful situation assessment services with eye-popping capabilities and performance with this trail-blazing resource. The book explores object and situation fusion processes with an appropriate handling of uncertainties, and applies cutting-edge artificial intelligence and emerging technologies like particle filtering, spatiotemporal clustering, net-centricity, agent formalism, and distributed fusion together with essential Level 1 techniques and Level 1/2 interactions. Moreover, it includes all the tools you need to design high-level fusion services, select algorithms and software, simulate performance, and evaluate systems with never-before effectiveness. The book explains the Bayesian, fuzzy, and belief function formalisms of data fusion and a review of Level 1 techniques, including essential target tracking methods. Further, it covers Level 2 fusion methods for applications such as target classification and identification, unit aggregation and ambush detection, threat assessment, and relationships among entities and events, and assessing their suitability and capabilities in each case. The book's detailed discussion of Level 1/2 interactions emphasizes particle filtering techniques as unifying methods for both filtering under Level 1 fusion and inferencing in models for Level 2 fusion. The book also describes various temporal modeling techniques including dynamic Bayesian networks and hidden Markov models, distributed fusion for emerging network centric warfare environments, and the adaptation of fusion processes via machine learning techniques. Packed with real-world examples at every step, this peerless volume serves as an invaluable reference for your research and development of next-generation data fusion tools and services.","","9781596932821","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9100648.pdf&bkn=9100648&pdfType=book","","","","","","","","16 Jun 2020","","","Artech","Artech Books"
"Resource Management for Netcentric Environments","S. Das","Charles River Analytics, Inc., Cambridge, MA, USA",2006 9th International Conference on Information Fusion,"12 Feb 2007","2006","","","1","3","The military resource management problem involves timely distribution and placement of materiel, personnel, and sensor assets to accommodate mission requirements throughout the world. The resource management problem of today's US military is perhaps the largest and most complex optimization problem in terms of the number of variables representing various resource types and constraints relating the variables. This modern resource management problem needs to be considered within a network centric warfare (NCW) environment, and hence the term ""sense and respond logistics"" (S&RL). In this article, the author views the resource management issue as intimately related to the problem of planning and scheduling of tasks, that is, one cannot effectively reason with resources in isolation. In the data fusion domain, this view translates to consideration of the collection management process during situation/threat assessment and courses-of-action generation processes. Within a NCW environment a node must proactively determine mission requirements based on the current situation and threat, and then coordinate with other nodes to meet those requirements via some communication mechanism (e.g. publish and subscribe) on the underlying infrastructure. The specific algorithmic approach the author advocates for dynamically managing resources is essentially based on constraint programming (CP) techniques, where constraints are declaratively stated and placed on the types and quantities of resources at hand. The constraints can also be dynamically added or retracted from the system, thus are suitable to meet the demands of a dynamic resource management environment. The approach distinguishes between consumable and non-consumable resources, and in some situations views time as a special kind of resource. The author illustrates the CP approach to resource management in NCW environments in terms of two examples. The first example is related to surveillance asset management and the second is related to logistics","","1-4244-0953-5","10.1109/ICIF.2006.301793","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4086079","Resource Management;Sense & Respond Logistics;Network Centric Warfare;Planning & Scheduling;Constraint Programming","Resource management;Dynamic programming;Logistics;Rivers;Personnel;Constraint optimization;Communication effectiveness;Fusion power generation;Surveillance;Asset management","","","","6","","12 Feb 2007","10-13 July 2006","10-13 July 2006","IEEE","IEEE Conferences"
"The impact of tropospheric propagation on data fusion from multiple radars","A. K. Shukla; D. J. Fraser; A. Lockton; A. H. Y. Chan; J. E. N. Field; S. L. Shemar","Malvem Technology Centre, QinetiQ Limited, Malvern, Worcestershire, UK; Malvem Technology Centre, QinetiQ Limited, Malvern, Worcestershire, UK; Malvem Technology Centre, QinetiQ Limited, Malvern, Worcestershire, UK; Malvem Technology Centre, QinetiQ Limited, Malvern, Worcestershire, UK; Malvem Technology Centre, QinetiQ Limited, Malvern, Worcestershire, UK; Malvem Technology Centre, QinetiQ Limited, Malvern, Worcestershire, UK",2005 7th International Conference on Information Fusion,"13 Feb 2006","2005","1","","7 pp.","","Data fusion from spatially separated radars is increasingly being considered within network centric warfare to mitigate complex threats. Propagation of signals from spatially separated radars through differing atmospheric environments, however, can introduce significant errors in target positioning and ranging. For example, simulations illustrate that two radars separated by 100 km viewing the same single target through different tropospheres could place the single target in positions separated by over 200 m. Attempts at fusing the data and resolving the information into a single object could result in operational deficiencies due to classification and discrimination errors. Additionally, anomalous propagation conditions such as tropospheric ducting can lead to radar coverage holes and hence the perception of faulty radars and system level fusion errors. These errors must be characterized and, as far as possible, eliminated if the operational effectiveness of cooperative radar engagements and capabilities are to be optimized. This paper illustrates the type and magnitude of these errors, and their likely impact on system level fusion. The architecture of a potential correction system is outlined.","","0-7803-9286-8","10.1109/ICIF.2005.1591867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1591867","Data fusion;radar errors;refraction;diffraction;ducting","Terrestrial atmosphere;Surveillance;Diffraction;Frequency;Atmospheric modeling;Radar clutter;Absorption;Radar scattering;Ionosphere;Radar detection","","10","","15","IEEE","13 Feb 2006","25-28 July 2005","25-28 July 2005","IEEE","IEEE Conferences"
"Practical trade-offs in fusion architecture design","E. Shahbazian","Lockheed Martin Canada, Montreal, QUE, Canada",Proceedings of the Third International Conference on Information Fusion,"6 Aug 2002","2000","1","","MOD5/18","MOD5/22 vol.1","Since 1991, the Research and Development (R&D) group at Lockheed Martin Canada (LM Canada) has been developing and demonstrating the application of Multi-Source Data Fusion (MSDF) techniques for target tracking and identification within the Naval Command and Control (C2) for the HALIFAX Class frigates. The current C2 as well as the sensor suite of the HALIFAX Class were designed in the early 80s. For its time, the ship C2 architecture was both revolutionary and advanced. It has fully integrated and distributed C2, capable of combining information from all the data sources available on the frigate and presenting this information to all operators responsible for various sensor/weapon management and control taskS. While this system is very capable of supporting modern warfare, it is apparent that it must evolve to keep up with the advancements in threat and sensor technologies as well as to be able to cope with the increased information flow in a Network Centric Warfare. This paper provides a summary analyses performed for the selection of the Data Fusion architectures which would be most appropriate for the HALIFAX Class C2.","","2-7257-0000-0","10.1109/IFIC.2000.862655","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=862655","","Research and development;Knowledge based systems;Resource management;Command and control systems;Sensor systems;Marine vehicles;Performance analysis;Decision support systems;Synthetic aperture radar;Testing","","1","","6","","6 Aug 2002","10-13 July 2000","10-13 July 2000","IEEE","IEEE Conferences"
