"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Implication of Data Lake in Enterprises: A Deeper Analytics","J. Singh; G. Singh; B. S. Bhati","Computer Science and Engineering, Chandigarh University, Mohali, India; Computer Science and Engineering, Chandigarh University, Mohali, India; Computer Science and Engineering, Chandigarh University, Mohali, India",2022 8th International Conference on Advanced Computing and Communication Systems (ICACCS),"7 Jun 2022","2022","1","","530","534","Everyday enormous amounts of information are produced from computerized advancements and handling these gigantic complex data requires a decent knowledge on the most proficient method to deal with this data. With a purpose to make the most from this multiform data for determined benefits, the data lake emerge as idea for enhanced adaptability and strong data analytics. Data Lake terminology signify a storage space for storing heterogeneous data, both organized as well as unstructured, bringing about an adaptable association that permits data lake customers incorporate data dynamically which they request. Big Data innovation offer help to enterprises in business intelligence process yet there exists lack of empirical study on utilization of data lake technique in enterprises. This paper gives an exploratory review on data lake implication by portraying its concept, functional architecture, development stages involved and numerous research challenges and direction; which will improve the effective utilization of the data lake approach in enterprises.","2575-7288","978-1-6654-0816-5","10.1109/ICACCS54159.2022.9784986","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9784986","Data Lake;Data Lake vs Data Warehouse;Data Lake Research Challenges;Data Lake in Enterprise;Stages for Building Data Lake;Need of Data Lake","Technological innovation;Terminology;Communication systems;Focusing;Computer architecture;Companies;Lakes","","15","","22","IEEE","7 Jun 2022","25-26 March 2022","25-26 March 2022","IEEE","IEEE Conferences"
"Embedding AI and Crowdsourcing in the Big Data Lake","D. E. O'Leary",University of Southern California,IEEE Intelligent Systems,"7 Nov 2014","2014","29","5","70","73","Daniel E. O'Leary examines the notion of the Big Data Lake and contrasts it with decision support-based data warehouses. In addition, some of the risks of the emerging Lake concept that ultimately require data governance are analyzed. O'Leary investigates using different AI and crowdsourcing (human intelligence) applications in that lake in order to integrate disparate data sources, facilitate master data management and analyze data quality. Although data governance often is not seen as a technology issue, it is seen as a critical component of making the Big Data Lake ""work.""","1941-1294","","10.1109/MIS.2014.82","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6949519","Big Data Lake;data warehouses;artificial intelligence;crowdsourcing;data governance;master data management;intelligent systems","Crowdsourcing;Artificial intelligence;Big data;Data warehouses;Decision support systems;Databases;Business","","79","","19","IEEE","7 Nov 2014","Sept.-Oct. 2014","","IEEE","IEEE Magazines"
"Building a Data Lake for Power BI in the Cloud: A Review on Utilizing Cloud Storage Services for Large Datasets","V. V. Gurbade; P. Verma; S. Gundewar; V. S. Bramhe","Department of Artificial Intelligence and Data Science, Faculty of Engineering and Technology, Datta Meghe Institute of Higher Education & Research (DU), Wardha, Maharashtra, India; Department of Artificial Intelligence and Machine Learning, Faculty of Engineering and Technology, Datta Meghe Institute of Higher Education & Research (DU), Wardha, Maharashtra, India; Department of Artificial Intelligence and Machine Learning, Faculty of Engineering and Technology, Datta Meghe Institute of Higher Education & Research (DU), Wardha, Maharashtra, India; School of Computing Science and Engineering, VIT Bhopal University, Sehore, Madhya Pradesh, India","2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry (IDICAIEI)","20 Jan 2025","2024","","","1","6","A data lake is a centralized repository where you may store both structured and unstructured data at any scale. Unlike typical data warehouses, which need data structure for storage, data lakes allow you to store raw data in its natural state. This adaptability makes data lakes suitable for storing large volumes of various data kinds, including photographs, videos, log files, sensor data, and others. When integrating a data lake with Power Business Intelligence (BI), organizations can harness the power of both technologies to gain valuable insights from their data. In the realm of data-driven decision-making, organizations face the challenge of managing and extracting insights from vast and diverse datasets, a task conventional on-premises storage solutions often struggle with due to the exponential growth of data. Thus, the adoption of more scalable and flexible alternatives becomes imperative. Cloud-based data lakes emerge as transformative solutions, offering unparalleled scalability, accessibility, cost-effectiveness, and advanced security protocols. This paper discuss the concept of constructing a cloud-based data lake optimized for Power BI, leveraging leading cloud storage services like Azure Data Lake Storage (ADLS) and Amazon S3. By seamlessly integrating Power BI with the cloud data lake, organizations can overcome traditional storage limitations and reap numerous benefits. The practical applications in advanced analytics, customer insights, IoT data management, and data discovery underscore the real-world utility of cloud data lakes. The integration of Power BI with a cloud data lake augments efficient data analysis and self-service analytics potential, offering organizations a comprehensive solution for deriving actionable insights from their data assets.","","979-8-3315-2871-3","10.1109/IDICAIEI61867.2024.10842802","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10842802","Data Lake;Cloud storage;Power BI;Cloud data integration;Data flows","Cloud computing;Scalability;Decision making;Buildings;Organizations;Big Data applications;Security;Data mining;Business intelligence;Self-service","","","","15","IEEE","20 Jan 2025","29-30 Nov. 2024","29-30 Nov. 2024","IEEE","IEEE Conferences"
"Leveraging Scalable Cloud Infrastructure for Autonomous Driving Data Lakes and Real-Time Decision Making","J. Chen","Graduate School of Arts and Sciences, Columbia University, New York, United States",2025 5th International Conference on Artificial Intelligence and Industrial Technology Applications (AIITA),"1 Jul 2025","2025","","","1750","1753","Autonomous driving technology relies heavily on the effective management of vast datasets generated by various sensors and vehicle systems. As such, leveraging scalable cloud infrastructure becomes paramount for improving data handling and decision-making capabilities. In this paper, we introduce the Autonomous Driving Data Lakes (ADDL) framework, designed to streamline the storage, retrieval, and processing of extensive driving data in real-time. By utilizing cloud technology, ADDL ensures tight integration of data from diverse sources to enhance situational awareness for autonomous systems. Our architecture features robust data pipelines that support real-time analytics and machine learning applications, which are crucial for timely and accurate decision-making. Extensive experiments with large-scale datasets demonstrate how our approach significantly boosts processing efficiency, data accessibility, and decision-making reliability. The findings highlight advancements in autonomous driving technologies, addressing the challenges associated with data management and enhancing operational effectiveness in changing driving environments.","","979-8-3315-0976-7","10.1109/AIITA65135.2025.11048068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11048068","Cloud Infrastructure;Autonomous Driving;Decision Making","Decision making;Pipelines;Machine learning;Big Data applications;Real-time systems;Sensor systems;Telemetry;Reliability;Autonomous vehicles;Intelligent sensors","","","","18","IEEE","1 Jul 2025","28-30 March 2025","28-30 March 2025","IEEE","IEEE Conferences"
"Building a Data Lake for Smart Building Data: Architecture for Data Quality and Interoperability","J. L. Hernández; S. Martín; P. Kapsalis; K. Katsigarakis; E. Sarmas; V. Marinakis","Energy Division, CARTIF Technology Centre, Boecillo, Valladolid, Spain; Energy Division, CARTIF Technology Centre, Boecillo, Valladolid, Spain; Decision Support Systems Laboratory, National Technical University of Athens, Athens, Greece; Faculty of the Built Environment, University College of London, London, United Kindom; Decision Support Systems Laboratory, National Technical University of Athens, Athens, Greece; Decision Support Systems Laboratory, National Technical University of Athens, Athens, Greece","2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA)","15 Dec 2023","2023","","","1","8","Building data is growing, where sources are heterogeneous and still treated as silos from different building domains (energy, architecture elements or automation networks, among others). This leads to a lock-in when providing capabilities of data exploitation, such as added-value services, artificial intelligence services or machine-learning activities. Assuring data integration via interoperability mechanisms becomes then pivotal in building data management schemas. Under this perspective, this paper presents an architecture of a data lake that integrates heterogeneous data sources from diverse building domains with the aim of homogenising data-sets and creating data-quality procedures to ensure high-quality services to make better decisions. Based on enriched data between static and dynamic data-sets, the data lake ultimate develops business intelligence mechanism to extract knowledge and information.","","979-8-3503-1806-7","10.1109/IISA59645.2023.10345892","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10345892","data lake;data quality;interoperability;digitalisation;smart buildings","Smart buildings;Architecture;Data integrity;Soft sensors;Buildings;Pipelines;Metadata","","5","","16","IEEE","15 Dec 2023","10-12 July 2023","10-12 July 2023","IEEE","IEEE Conferences"
"Cloud Big Data Lake for Advanced Analytics in Semiconductor Manufacturing","S. Sun; J. Ye; H. Schwarthoff; J. Rosin; V. Vakkalagadda; J. Chang; S. R. Ubbara; A. Chinthakindi","Data Science, Micron Technology Inc., Manassas, VA, USA; Process Integration Micron Technology Inc., Manassas, VA, USA; Smart Mfg Tech Solutions Micron Technology Inc., Boise, ID, USA; Information Technology Micron Technology Inc., Manassas, VA, USA; Data Science, Micron Technology Inc., Manassas, VA, USA; Smart Mfg Tech Solutions Micron Technology Inc., Boise, ID, USA; Smart Mfg Tech Solutions Micron Technology Inc., Boise, ID, USA; Front-end Central Quality Micron Technology Inc., Manassas, VA, USA",2024 35th Annual SEMI Advanced Semiconductor Manufacturing Conference (ASMC),"6 Jun 2024","2024","","","1","5","Data driven business intelligence is changing how semiconductor manufacturing thrives in the long term. A cloud big data lake is designed and implemented based on state-of-the-art cloud architecture providing complete services for data ingestion, storage, processing, advanced analytics, and machine learning with a high level of security. Efficient and effective use of this big data lake and data science enables problem solving and decision making to improve productivity and performance.","2376-6697","979-8-3503-8455-0","10.1109/ASMC61125.2024.10545365","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10545365","Cloud;Data Lake;Semiconductor Manufacturing;Big Data Analytics","Cloud computing;Soft sensors;Scalability;Machine learning;Lakes;Big Data;Semiconductor device manufacture","","","","5","IEEE","6 Jun 2024","13-16 May 2024","13-16 May 2024","IEEE","IEEE Conferences"
"The Significance of using Data Extraction Methods for an Effective Big Data Mining Process","M. Sharma; R. Gupta","dept. Computer Science Engoneering, Graphic Era deemed to be University, Dehradun, India; dept. Computer Science Engoneering, Graphic Era hill University, Dehradun, India",2023 2nd International Conference for Innovation in Technology (INOCON),"19 Apr 2023","2023","","","1","4","Data is identified as the fuel of modern society for its versatility of use and effectiveness of use. In addition, modern businesses are making a decline based on analysis of historical data and patterns of the data. Such dependency on data analysis makes the process of data analysis important for data mining. Therefore the overall study has shed light on the significance of the data mining process and extraction process of data in order to make a data-driven decision. Additionally, the problems related to the process of data extraction and data mining are mentioned in the study which helps to achieve an overall concept for the data extraction and data mining process. Additionally, the significance of the process is mentioned in the study. Additionally, there are tables constructed that represent problems of the data extraction process and mining and the significance of the stems of mining. The study concludes in a way that helps in the implication of data extraction methods for business.","","979-8-3503-2092-3","10.1109/INOCON57975.2023.10101236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10101236","Big data mining;Data extraction methods;Data Mining process;Data warehouse;Data lake;Data analysis;Decision making;Artificial intelligence;Business intelligence;data-driven decision-making","Technological innovation;Data analysis;Decision making;Big Data;Data mining;Fuels;Business","","4","","20","IEEE","19 Apr 2023","3-5 March 2023","3-5 March 2023","IEEE","IEEE Conferences"
"Research on Marketing and Data Analysis System Based on Computer Big Data","X. Wu",Macau University of Science and Technology,"2022 4th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)","22 May 2023","2022","","","286","289","This paper establishes a set of enterprise marketing decision-making system based on computer big data calculation. According to the characteristics of marketing data collection and sorting, this paper proposes a mashup data architecture and a data application functional architecture. The author describes the overall functional structure of the system and the design and implementation of key processes such as the generation of marketing activities, the production of marketing activities, and the execution of marketing activities among the modules of the system. At the same time, it expounds the main functions and technical realization modes of the CRM shopping guide module, product unified management module, grid management module, marketing management module, production scheduling management module, and work division management module. This paper mines feature from the three dimensions of users, merchants, and the relationship between users and merchants in the marketing system. A total of 121 features are constructed from multiple perspectives under each dimension. In this paper, the improved Relief algorithm is used to select features with stronger discriminative ability for minority class samples and build a single model to predict the repeated purchase behavior of users. The experimental results show that after using the improved Relief algorithm to select features, the predicted effect of the model is better.","","979-8-3503-3394-7","10.1109/MLBDBI58171.2022.00062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125444","computer;big data;marketing;user repeat purchase behavior;marketing analysis system","Computational modeling;Mashups;Decision making;Production;Computer architecture;Predictive models;Prediction algorithms","","","","8","IEEE","22 May 2023","28-30 Oct. 2022","28-30 Oct. 2022","IEEE","IEEE Conferences"
"Enhancing COVID-19 Data Analysis through HCI-Driven AI and IoT Integration","F. Mehdipour; A. Aharari","Department of Information Technology, Otago Polytechnic – Auckland International Campus, Auckland, New Zealand; Faculty of Computer and Information Sciences, SOJO University, Kumamoto, Japan",2024 IEEE 13th Global Conference on Consumer Electronics (GCCE),"28 Nov 2024","2024","","","840","843","This paper explores the integration of Artificial Intelligence (AI), the Internet of Things (IoT), and Human-Computer Interaction (HCI) to enhance data analysis and decision-making in healthcare, particularly during the COVID-19 pandemic. Through a mixed-methods approach, including a literature review and case study analysis, the study highlights how AI-driven analytics and IoT data streams, exemplified by the COVID-19 Data Lake and WHO Health Alert platform, provide real-time insights and improve decision-making efficiency. The success of these systems relies on effective HCI integration, robust data validation, and comprehensive user training. Challenges such as data accuracy and system adaptability are identified, with future research directions focusing on advanced AI techniques and the development of sophisticated HCI frameworks. By addressing these challenges, the integration of AI, IoT, and HCI can further transform healthcare and enhance public health outcomes.","2693-0854","979-8-3503-5507-9","10.1109/GCCE62371.2024.10760844","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10760844","Artificial Intelligence (AI);Internet-of-Things (IoT);Human-Computer Interaction (HCI);Healthcare Data Management","COVID-19;Training;Data analysis;Decision making;Transforms;Real-time systems;Internet of Things;Artificial intelligence;Public healthcare;Streams","","1","","14","IEEE","28 Nov 2024","29 Oct.-1 Nov. 2024","29 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"AI-Driven Secure and Scalable Data Architecture with Multi-Domain MDM and Cybersecurity for Real-Time Fintech Decision-Making","C. Bonthu; G. Malik; M. R. Dhanagari","Eversana, USA; The Goldman Sachs Group, Inc., Dallas, Texas, USA; Software Development & Engineering, Charles Schwab, USA",2025 Tenth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),"18 Feb 2026","2025","","","1","7","In this paper, AI-based data integration methods can be used to improve real-time decision-making in FinTech settings. In particular, it dwells upon the automatic processing and cleaning of financial data across numerous sources by making use of machine learning algorithms. With the assistance of AI integration, anomalies, inconsistencies, and possible fraud can be identified in real-time, which is essential to make precise financial decisions. Based on Apache Kafka as a real-time data streaming tool, this solution will provide the opportunity to ensure a smooth stream of information between systems and analyze it in seconds with high accuracy. Machine learning models also examine the streams of data to give a financial direction so that the system is adaptive and responsive to the market. This approach enhances the efficiency and scalability of financial processes because it allows making decisions in real-time, using accurate and clean data. Combining the AI with the real-time data processing and such tools as Apache Kafka provides a powerful solution to the application of modern, data-driven FinTech.","2996-2986","979-8-3315-6187-1","10.1109/ICONSTEM65670.2025.11374416","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11374416","AI-driven;data integration;machine learning;real-time decision-making;financial data;anomaly detection;Apache Kafka","Accuracy;Fintech;Scalability;Decision making;Data integration;Machine learning;Real-time systems;Data models;Cleaning;Load modeling","","","","15","IEEE","18 Feb 2026","6-7 Nov. 2025","6-7 Nov. 2025","IEEE","IEEE Conferences"
